Source,Type,Date,Amount,Month,Financial Year
ICICI Mutual Fund,Mutual Fund,Apr/2018,"₹25,751.33",4,2018–2019
ICICI Mutual Fund,Mutual Fund,May/2018,"₹26,313.31",5,2018–2019
ICICI Mutual Fund,Mutual Fund,Jun/2018,"₹31,787.60",6,2018–2019
ICICI Mutual Fund,Mutual Fund,Jul/2018,"₹16,288.74",7,2018–2019
ICICI Mutual Fund,Mutual Fund,Aug/2018,"₹20,662.09",8,2018–2019
ICICI Mutual Fund,Mutual Fund,Sep/2018,"₹18,713.52",9,2018–2019
ICICI Mutual Fund,Mutual Fund,Oct/2018,"₹13,665.54",10,2018–2019
ICICI Mutual Fund,Mutual Fund,Nov/2018,"₹19,222.04",11,2018–2019
ICICI Mutual Fund,Mutual Fund,Dec/2018,"₹15,597.83",12,2018–2019
ICICI Mutual Fund,Mutual Fund,Jan/2019,"₹21,328.41",1,2018–2019
ICICI Mutual Fund,Mutual Fund,Feb/2019,"₹19,376.54",2,2018–2019
ICICI Mutual Fund,Mutual Fund,Mar/2019,"₹24,024.21",3,2018–2019
HDFC,Mutual Fund,Apr/2018,"₹5,925.29",4,2018–2019
HDFC,Mutual Fund,May/2018,"₹6,065.47",5,2018–2019
HDFC,Mutual Fund,Jun/2018,"₹4,148.75",6,2018–2019
HDFC,Mutual Fund,Jul/2018,"₹3,281.87",7,2018–2019
HDFC,Mutual Fund,Aug/2018,"₹4,996.14",8,2018–2019
HDFC,Mutual Fund,Sep/2018,"₹4,922.59",9,2018–2019
HDFC,Mutual Fund,Oct/2018,"₹3,568.52",10,2018–2019
HDFC,Mutual Fund,Nov/2018,"₹3,997.53",11,2018–2019
HDFC,Mutual Fund,Dec/2018,"₹2,820.14",12,2018–2019
HDFC,Mutual Fund,Jan/2019,"₹3,371.51",1,2018–2019
HDFC,Mutual Fund,Feb/2019,"₹2,913.06",2,2018–2019
HDFC,Mutual Fund,Mar/2019,"₹3,855.09",3,2018–2019
IDFC,Mutual Fund,Apr/2018,"₹2,132.76",4,2018–2019
IDFC,Mutual Fund,May/2018,"₹2,666.94",5,2018–2019
IDFC,Mutual Fund,Jun/2018,"₹3,902.78",6,2018–2019
IDFC,Mutual Fund,Jul/2018,"₹2,416.49",7,2018–2019
IDFC,Mutual Fund,Aug/2018,"₹2,123.91",8,2018–2019
IDFC,Mutual Fund,Sep/2018,"₹2,538.30",9,2018–2019
IDFC,Mutual Fund,Oct/2018,₹924.71,10,2018–2019
IDFC,Mutual Fund,Nov/2018,"₹2,486.52",11,2018–2019
IDFC,Mutual Fund,Dec/2018,"₹2,086.59",12,2018–2019
IDFC,Mutual Fund,Jan/2019,"₹2,282.38",1,2018–2019
IDFC,Mutual Fund,Feb/2019,"₹2,033.16",2,2018–2019
IDFC,Mutual Fund,Mar/2019,"₹2,988.83",3,2018–2019
ABSL,Mutual Fund,Apr/2018,"₹5,859.37",4,2018–2019
